"ip_address","nick_name","start_time","end_time","pic_id","response_no","conf_level","choice_reason","description"
1,1,"2015-02-19 14:58:37","2015-02-19 14:59:01",47,"12",4,"_clumped more","turk16"
2,2,"2015-02-19 14:58:24","2015-02-19 14:59:06",21,"13,20",4,"_Points are too clustered together and farther apart","turk16"
3,3,"2015-02-19 14:58:26","2015-02-19 14:59:07",27,"9",3,"_Grouped tighter than the others","turk16"
4,4,"2015-02-19 14:58:45","2015-02-19 14:59:07",96,"1",5,"_outlier","turk16"
5,5,"2015-02-19 14:58:54","2015-02-19 14:59:09",92,"1",5,"_clusters","turk16"
6,6,"2015-02-19 14:58:35","2015-02-19 14:59:11",3,"4",4,"_more color and smaller","turk16"
7,7,"2015-02-19 14:58:26","2015-02-19 14:59:14",20,"1",5,"_almost all plot points touch the line","turk16"
8,8,"2015-02-19 14:58:59","2015-02-19 14:59:14",47,"7",4,"_most in line","turk16"
9,9,"2015-02-19 14:58:44","2015-02-19 14:59:16",29,"5",4,"_STRAIGHT LINE ALAIGN","turk16"
10,10,"2015-02-19 14:58:28","2015-02-19 14:59:16",36,"15",4,"_points are scattered in two or three distinct areas, instead of along a diagonal.","turk16"
11,11,"2015-02-19 14:58:59","2015-02-19 14:59:18",52,"11",5,"_Weak linear relationship","turk16"
12,12,"2015-02-19 14:58:54","2015-02-19 14:59:19",28,"9",4,"_the dots are widely distributed","turk16"
13,13,"2015-02-19 14:58:46","2015-02-19 14:59:20",41,"13",4,"_discontinuous","turk16"
14,14,"2015-02-19 14:58:59","2015-02-19 14:59:20",3,"4",3,"_distinct groups of points","turk16"
9,15,"2015-02-19 14:58:39","2015-02-19 14:59:21",15,"8",2,"_PLACED","turk16"
15,16,"2015-02-19 14:58:19","2015-02-19 14:59:23",51,"6",4,"_the groups do not overlap and are more clustered together than on other graphs.","turk16"
16,17,"2015-02-19 14:58:30","2015-02-19 14:59:24",3,"14",4,"_compressed grouping","turk16"
17,18,"2015-02-19 14:59:00","2015-02-19 14:59:25",45,"7",5,"_Groups of points","turk16"
5,5,"2015-02-19 14:59:16","2015-02-19 14:59:29",247,"5",5,"_linear relationship","turk16"
18,19,"2015-02-19 14:58:52","2015-02-19 14:59:33",42,"11",5,"_","turk16"
19,20,"2015-02-19 14:57:18","2015-02-19 14:59:37",39,"19",2,"_all together in a straight vertical line","turk16"
20,21,"2015-02-19 14:58:57","2015-02-19 14:59:37",8,"2",2,"_group","turk16"
4,4,"2015-02-19 14:59:18","2015-02-19 14:59:39",20,"9",3,"_outlier","turk16"
21,22,"2015-02-19 14:58:38","2015-02-19 14:59:39",70,"13",5,"_Inconsistent grouping","turk16"
11,11,"2015-02-19 14:59:26","2015-02-19 14:59:41",1,"11",5,"_Grouping","turk16"
22,23,"2015-02-19 14:58:46","2015-02-19 14:59:41",46,"19",2,"_There are few dots on the center line.","turk16"
8,8,"2015-02-19 14:59:28","2015-02-19 14:59:43",8,"2",4,"_most in line","turk16"
4,4,"2015-02-19 14:59:40","2015-02-19 14:59:50",354,"15",3,"_outlier","turk16"
7,7,"2015-02-19 14:59:23","2015-02-19 14:59:51",46,"13",5,"_","turk16"
18,19,"2015-02-19 14:59:44","2015-02-19 14:59:53",43,"20",5,"_","turk16"
9,15,"2015-02-19 14:59:35","2015-02-19 14:59:55",25,"1",2,"_PLACED","turk16"
4,4,"2015-02-19 14:59:51","2015-02-19 14:59:58",35,"9",4,"_outlier","turk16"
10,10,"2015-02-19 14:59:28","2015-02-19 15:00:02",31,"5",4,"_The scatter area of the blue points is significantly larger than any other.","turk16"
14,14,"2015-02-19 14:59:33","2015-02-19 15:00:02",53,"11",2,"_one set is an outlier","turk16"
5,5,"2015-02-19 14:59:55","2015-02-19 15:00:09",211,"11",5,"_strong linear relationship","turk16"
6,6,"2015-02-19 14:59:25","2015-02-19 15:00:10",25,"5",3,"_tighter and more bunched up","turk16"
15,16,"2015-02-19 14:59:34","2015-02-19 15:00:11",39,"19",4,"_line is straighter than other grphs.","turk16"
2,2,"2015-02-19 14:59:47","2015-02-19 15:00:15",6,"14",4,"_Points are too clustered together and farther apart","turk16"
