"set","x","y","group",".sample","target1","target2"
3,0.0950242028116679,-0.835380966662581,1,1,4,6
3,-1.00729593354247,0.232538720882978,1,1,4,6
3,0.844319823458364,1.10764832298822,2,1,4,6
3,-1.36400920225005,-1.46855591556046,1,1,4,6
3,-1.28260001317494,-2.76604413765691,3,1,4,6
3,1.26000473806927,1.68078021643715,2,1,4,6
3,-1.12591680872866,-1.14345202699231,1,1,4,6
3,-1.08055424089552,-0.585975397291563,1,1,4,6
3,-1.00688670981747,0.149756555184458,1,1,4,6
3,-0.926397700216207,-0.75191181171095,1,1,4,6
3,-0.857908855575544,-1.36657476269647,1,1,4,6
3,-0.77470974607357,-1.4612976946425,1,1,4,6
3,-0.718168931020655,-0.519110288501342,1,1,4,6
3,1.57824057552601,0.672550158148086,2,1,4,6
3,-0.561346225639229,0.68506659306687,1,1,4,6
3,-0.087344525769526,-0.675884182900777,1,1,4,6
3,-0.41541045955235,-0.601785552092616,1,1,4,6
3,-1.90715997667718,-0.24921025256602,1,1,4,6
3,-0.959291225220815,-0.277545907375114,1,1,4,6
3,-0.203891945138649,-0.274400772309963,2,1,4,6
3,1.32078076159098,1.33765519486021,2,1,4,6
3,-0.069547375958921,-0.247594964769017,2,1,4,6
3,0.0134168679348087,-0.754686408128546,1,1,4,6
3,0.0630411500390145,-0.247788110363951,2,1,4,6
3,0.0133107573634574,-0.867737245457873,1,1,4,6
3,0.222320904979093,0.861449427227521,2,1,4,6
3,0.279820198161681,0.191311888127147,2,1,4,6
3,0.349667430572084,0.870826494424191,2,1,4,6
3,1.32632803647231,1.14896227489274,2,1,4,6
3,-0.310609667401108,-0.950759300310047,1,1,4,6
3,-1.27924489262886,0.190861159651609,1,1,4,6
3,0.657462886257985,1.2301814281504,2,1,4,6
3,0.720821698504437,-0.0224845599197806,2,1,4,6
3,1.38944806870009,1.49648047294451,2,1,4,6
3,0.863199859192858,0.495945891089684,2,1,4,6
3,-0.941614338418249,-0.536101341629571,1,1,4,6
3,-0.591822874623105,-0.249345220464854,1,1,4,6
3,1.07979441667365,0.431262178119874,2,1,4,6
3,-0.452826427665035,-1.07398314399579,1,1,4,6
3,1.21241557061677,0.657433606863349,2,1,4,6
3,-1.24538210341016,0.276480528197829,1,1,4,6
3,1.36318023736226,-0.0731338878968342,2,1,4,6
3,1.42442471783674,1.04998063552394,2,1,4,6
3,1.50530744061369,0.79288582711906,2,1,4,6
3,1.58760983666104,2.44068627799603,2,1,4,6
3,-1.50962456399984,-2.77677521707984,1,2,4,6
3,-1.44843436631182,-0.292561070082115,2,2,4,6
3,-1.4723672543725,-1.50640623745084,2,2,4,6
3,-1.28123289273272,-1.47185935127405,2,2,4,6
3,-1.22522620889047,-0.405364872738785,2,2,4,6
3,-1.15200554419078,-0.622055964551786,2,2,4,6
3,-1.52807091026977,-1.11857796566093,2,2,4,6
3,-1.78332760614136,-1.12420774594654,2,2,4,6
3,-0.929785601195943,0.130930647804642,2,2,4,6
3,-0.862823812746563,-0.742411209704424,2,2,4,6
