"set","x","y","group",".sample","target1","target2"
45,-1.60297222901957,-2.18915791947404,1,2,15,1
45,-1.5509943192509,-1.17470407784613,1,2,15,1
45,-1.49658714463464,-2.23372726834704,1,2,15,1
45,-1.46295902724792,-0.913022391724768,1,2,15,1
45,-1.3259120833514,-1.23318007445183,1,2,15,1
45,0.872294664024625,0.89560163140598,2,2,15,1
45,0.37028655405396,1.28095558094385,2,2,15,1
45,-1.27795884999989,-0.319952935407274,1,2,15,1
45,1.55351051728332,-0.565945444669454,3,2,15,1
45,-0.327807142773754,1.40863473671241,4,2,15,1
45,0.000841469606887344,2.01135548060639,4,2,15,1
45,-1.08688677046289,-1.21831362593179,1,2,15,1
45,-1.04328861808552,-0.949658738438453,1,2,15,1
45,-0.997296137614184,0.0116039693676081,5,2,15,1
45,0.608626164486963,1.29766862661823,2,2,15,1
45,-0.891941821410025,-1.27649159419633,1,2,15,1
45,-0.857121067743783,-1.50382967114357,1,2,15,1
45,-0.947895292269248,0.654758400740296,5,2,15,1
45,-0.758307441941602,-0.518809567024683,1,2,15,1
45,-0.721271277241436,-0.610387523079878,1,2,15,1
45,-0.677298014062171,-1.63274359783946,1,2,15,1
45,-1.64999091888438,-0.646163978054852,1,2,15,1
45,-0.579478427296735,-0.37747570968951,5,2,15,1
45,-0.524208017673053,-0.176612473001041,5,2,15,1
45,-0.486236133045628,-0.256235938452718,5,2,15,1
45,0.619575113663352,0.360852937942901,2,2,15,1
45,-0.254997312423432,1.53122464241951,4,2,15,1
45,-0.342969135405651,-0.402263209050378,5,2,15,1
45,-0.296692681450376,-0.545322412972844,5,2,15,1
45,-0.258837725437591,0.438850869558277,5,2,15,1
45,-0.205659147140214,-0.345328898999945,5,2,15,1
45,-1.01783178746288,-0.847809878307469,1,2,15,1
45,0.987937801422608,0.993150911265512,2,2,15,1
45,0.567258881158936,1.26743712648292,2,2,15,1
45,-0.0155450735311588,0.0996425660608595,5,2,15,1
45,0.0237914287394482,0.771642324814747,5,2,15,1
45,0.0758584936012519,-0.652388191800928,5,2,15,1
45,0.123527995190223,-0.148653725964215,5,2,15,1
45,-0.0533386340708062,1.94809704762329,4,2,15,1
45,-1.52631363019917,-1.62978725128046,1,2,15,1
45,-1.38839447270048,-0.924087966145185,1,2,15,1
45,0.299819001545775,0.0981926201457313,5,2,15,1
45,-0.329513438060591,0.136356365310488,5,2,15,1
45,-0.823595096391803,-0.984362139561362,1,2,15,1
45,0.435003759364785,0.204471418259056,5,2,15,1
45,1.40088590831421,-0.841002327694515,3,2,15,1
45,0.53597972088989,-0.283004360219826,5,2,15,1
45,0.57799470337071,0.440965297550726,2,2,15,1
45,1.19430489884327,-0.585883422679703,3,2,15,1
45,0.6612751395153,0.427129384727817,2,2,15,1
45,0.71944212357045,-0.327499045889546,5,2,15,1
45,0.755486108514687,0.779935276610442,2,2,15,1
45,-0.397560993732442,0.16159330956525,5,2,15,1
45,0.858694065325442,-0.380949942194634,5,2,15,1
45,0.906210604065175,1.3977841326675,2,2,15,1
45,1.41889512518555,0.0431813459179637,2,2,15,1
45,1.10994696368744,0.76558597882654,2,2,15,1
45,1.04450939136307,0.697280362491148,2,2,15,1
45,1.07730668133114,1.10038706892124,2,2,15,1
45,0.606349107525658,1.13863909896259,2,2,15,1
45,1.18079183389779,1.0158228077852,2,2,15,1
45,-0.149047112430756,0.917044112457419,5,2,15,1
45,1.2644197678349,1.07731943965891,2,2,15,1
45,-1.136437557066,-1.43712130330463,1,2,15,1
45,1.36481951738638,0.494300649474947,2,2,15,1
45,-1.15071234676738,-1.49643944012649,1,2,15,1
45,-0.813049312326805,0.159757739439961,5,2,15,1
45,0.908042707582134,0.635203062079645,2,2,15,1
45,1.54744712268999,1.11875391807847,2,2,15,1
45,-1.62554000947665,-1.47773891317411,1,2,15,1
45,1.63132989520783,1.18219962157202,2,2,15,1
45,1.37870069299834,-0.36292435988441,3,2,15,1
45,-0.222128129840137,0.405201557458894,5,2,15,1
45,1.77033056986383,1.00816561069271,2,2,15,1
45,1.82307983681773,1.09223228680602,2,2,15,1
45,-0.223318801088172,-0.626988701770974,1,3,15,1
45,0.697360845071883,-0.350331479093335,2,3,15,1
45,0.454594602953046,-0.95947091405655,2,3,15,1
45,-1.27285642579501,1.65964886337941,3,3,15,1
45,-1.56664063064453,-1.60163719997827,1,3,15,1
45,-0.892891766108585,1.88738425208777,3,3,15,1
45,-0.1424321243798,-0.746986089967793,1,3,15,1
45,-1.41063106164875,-1.29713068725204,1,3,15,1
45,0.681875704860187,-1.09992354970428,2,3,15,1
45,-1.31509359888178,-0.512084818225146,1,3,15,1
45,1.5567608223186,0.0845627743282583,4,3,15,1
45,-1.22108107710905,-0.698165090369257,1,3,15,1
45,-1.16472757696237,-0.867176183446402,1,3,15,1
45,-1.11477894253466,-1.21013773731119,1,3,15,1
