"set","x","y","group",".sample","target1","target2"
8,-1.65828694123534,-1.18495933538584,1,1,5,16
8,-0.516627446279304,-0.814586403599241,1,1,5,16
8,1.37394313793925,-0.397724257499378,2,1,5,16
8,-1.43935948544548,-1.41425907084343,1,1,5,16
8,-1.36255872371497,-1.75297362891295,1,1,5,16
8,-0.762761218521785,-0.051454344340259,1,1,5,16
8,-1.1851380111806,-0.651404048919394,1,1,5,16
8,0.51804473933805,1.88299174288476,3,1,5,16
8,-1.02333758424657,-0.940140403015785,1,1,5,16
8,-1.33425357183246,-1.59759576718865,1,1,5,16
8,-0.875599097407338,-0.946748905233921,1,1,5,16
8,-0.786134044552614,-0.555653417444074,1,1,5,16
8,-0.70385014034226,-0.890227113292833,1,1,5,16
8,-0.640908748377155,-0.506832978089826,1,1,5,16
8,-0.842770380046431,1.16995991827259,3,1,5,16
8,1.26679119514543,-0.0704500618166094,2,1,5,16
8,-0.393609658700538,-0.473763541235838,1,1,5,16
8,-0.290432382789412,-0.145387815737187,2,1,5,16
8,-0.215625735606823,0.785226914581753,3,1,5,16
8,-0.519474653138394,-0.482612327800791,1,1,5,16
8,1.39186036038781,-0.463930973164263,2,1,5,16
8,0.0294040191395076,0.171648370160267,2,1,5,16
8,0.0868350971197429,-0.0853471371177087,2,1,5,16
8,0.180476122380323,0.436401813727906,2,1,5,16
8,0.259557840664159,1.08150489149392,3,1,5,16
8,0.326880282113054,0.520790673861482,2,1,5,16
8,0.432920222392345,0.398243200109602,2,1,5,16
8,1.24422211765756,-0.319643256498988,2,1,5,16
8,0.585338589570388,1.42780413404238,3,1,5,16
8,-1.73646257448018,-1.23321401363411,1,1,5,16
8,0.0645665140464573,1.2029394779304,3,1,5,16
8,0.832956760926364,0.811555003092518,2,1,5,16
8,-0.12130229762383,1.40076391292513,3,1,5,16
8,0.984180686973986,0.731195331024598,2,1,5,16
8,1.07233682250932,1.29634418477094,2,1,5,16
8,1.1297437428791,1.41137139758241,2,1,5,16
8,1.35830890978552,-0.539154132795194,2,1,5,16
8,2.092059981368,0.716341541841507,2,1,5,16
8,-1.13817647250577,-1.29551687221341,1,1,5,16
8,1.44995204005111,0.613886947969423,2,1,5,16
8,-0.842036830725323,-1.20285466916598,1,1,5,16
8,-0.0409338857144801,1.96315639047171,3,1,5,16
8,1.14181593430139,1.1046230174722,2,1,5,16
8,1.23955132821339,-0.0101752632165349,2,1,5,16
8,-0.632106560435204,-1.10013912605329,1,1,5,16
8,0.738630096495485,0.435601113304975,1,2,5,16
8,-1.60204001883279,-1.30659653400383,2,2,5,16
8,0.53596821963741,1.70930518281552,1,2,5,16
8,-1.43739731430506,-1.13210131059522,2,2,5,16
8,-0.904924952092021,-1.18078097482533,2,2,5,16
8,-1.91396627006969,-0.363993021534433,2,2,5,16
8,-1.19807480774004,-2.45082449001557,2,2,5,16
8,-1.14296565223532,0.0133222626050975,2,2,5,16
8,-1.07018313718407,-1.00320925108386,2,2,5,16
8,-0.972933707701317,-0.455874160892465,2,2,5,16
8,-0.899301720558202,-1.00811030719448,2,2,5,16
8,0.914789128906518,1.66408050736493,1,2,5,16
8,0.822972569429231,0.528842564914017,1,2,5,16
8,-0.668044878189274,-1.15113959263923,2,2,5,16
8,1.49088036433857,0.623506315075378,1,2,5,16
8,-0.509385402378811,-0.776776691746809,2,2,5,16
8,-0.45049764932111,-0.186697763361365,3,2,5,16
8,0.197254608244055,1.6189931716672,1,2,5,16
8,1.16187195323892,0.168800202020617,1,2,5,16
8,-0.200010562450231,-0.270251708863652,3,2,5,16
8,0.726400733818145,0.871710049285458,1,2,5,16
8,-0.494429148449751,-0.908262681950142,2,2,5,16
8,0.0251972500739348,-0.517715449758,3,2,5,16
8,0.114411092592875,0.479991126646396,3,2,5,16
8,1.0741216609935,0.87990164298575,1,2,5,16
8,0.8283039059898,0.566328075810005,1,2,5,16
8,0.34672918570039,0.288965170262469,3,2,5,16
8,-1.04547478434389,-0.804807535620299,2,2,5,16
8,-0.932517977752605,-0.426419386762125,2,2,5,16
8,0.163532398101109,1.28581945817364,1,2,5,16
8,-1.19205556619234,-1.21886936396261,2,2,5,16
8,0.731851437308441,-0.785374771421889,3,2,5,16
8,0.788196868223067,0.319376144057881,1,2,5,16
8,0.149737215412147,0.955555237355654,1,2,5,16
8,0.964446291184437,0.625817153223673,1,2,5,16
8,1.34760774723267,0.128750242590265,1,2,5,16
8,1.09856825640216,0.707553151927421,1,2,5,16
8,-0.763297309216606,-0.800923871286389,2,2,5,16
8,1.28206661157336,1.66340712190651,1,2,5,16
8,1.34454652869125,1.41712314133483,1,2,5,16
8,-0.704264990438486,-0.912075106008466,2,2,5,16
8,1.5125520807421,0.964234651805813,1,2,5,16
8,1.58230893572708,1.2345016751392,1,2,5,16
8,-0.79731943667516,-1.2078119257763,2,2,5,16
8,-1.04385985392988,-0.282869462970223,2,2,5,16
8,-1.60902033800618,-0.75790421644893,1,3,5,16
8,-1.50825771883623,-1.90062608365465,1,3,5,16
8,-1.43467671013465,-1.02185698301215,1,3,5,16
8,-1.35755923604406,-1.60290475254438,1,3,5,16
8,-0.14176782485287,-0.776769242384536,1,3,5,16
8,-1.20735813322763,-0.989124031032757,1,3,5,16
8,-1.13243756180672,-0.448384615931659,1,3,5,16
8,-1.05386697862454,0.75055125006414,2,3,5,16
8,-0.356065396682728,-0.90201377719109,1,3,5,16
8,-0.0694748265409309,-0.992428330126055,1,3,5,16
8,-0.806388243117951,-0.109792153202548,2,3,5,16
8,-0.723427349151429,-0.655335328361679,1,3,5,16
8,-0.104980663714206,-0.718508551662588,1,3,5,16
8,-0.54978284886219,0.27195575266899,2,3,5,16
8,-0.498832379212873,-0.725315380897515,1,3,5,16
8,-0.450343663947916,-0.926754202854364,1,3,5,16
8,-0.780069980057989,-0.203748736742197,2,3,5,16
8,-0.250460013605536,0.06996190058441,2,3,5,16
8,-0.172366949748053,-0.513425332367826,1,3,5,16
8,-1.02676396871858,-0.550270432894338,1,3,5,16
8,-0.0193965474055773,0.0326806367204253,2,3,5,16
8,0.0674653497956428,0.63330231083018,2,3,5,16
8,0.136734531581544,0.404719992290228,2,3,5,16
8,0.221799238773955,-0.284016364978284,2,3,5,16
8,0.301075011348238,0.320013402290461,2,3,5,16
8,0.032507093028966,-1.13864000877766,1,3,5,16
8,-0.337106625249135,-1.02865638912506,1,3,5,16
8,0.467496382427734,-1.25020809035717,1,3,5,16
8,0.608327810987195,1.7454162608493,3,3,5,16
8,0.964630276410017,1.56122900276247,3,3,5,16
8,1.52070773476678,1.12400283071749,3,3,5,16
8,0.860319272811237,0.416896378333697,2,3,5,16
8,0.93617254550811,1.36820079033127,3,3,5,16
8,1.45418501546196,0.749162840410534,3,3,5,16
8,-1.53623492387309,0.299360095999992,2,3,5,16
8,1.18217432098575,1.45074189324345,3,3,5,16
8,1.24176036962857,0.996669047722808,3,3,5,16
8,-1.36368601400107,-0.287822577907743,1,3,5,16
8,1.41670490516519,0.72574448879776,3,3,5,16
8,1.49595201089301,1.21077063794857,3,3,5,16
8,1.26446114415179,1.09746132399251,3,3,5,16
8,0.627449922500226,1.30938998089562,3,3,5,16
8,1.73774939598505,1.94857544303342,3,3,5,16
8,1.80543477982493,0.827610230488266,3,3,5,16
