"set","plot","target.type","target.ans","target.diff","problem"
88,7,"line",4,"very easy",NA
88,7,"group",14,"very easy",NA
72,5,"line",6,"very easy",NA
72,5,"group",13,"very easy",NA
81,9,"line",11,"very easy",NA
81,9,"group",5,"hard",NA
37,8,"line",13,"very easy",NA
37,8,"group",14,"hard",NA
19,3,"line",19,"very easy",NA
19,3,"group",9,"easy",NA
12,9,"line",9,"easy",NA
12,9,"group",8,"easy",NA
49,8,"line",4,"hard",NA
49,8,"group",14,"very easy",NA
73,9,"line",17,"very easy",NA
73,9,"group",7,"very easy",NA
22,5,"line",19,"medium",NA
22,5,"group",1,"hard",NA
22,5,"group",4,"hard",NA
48,6,"line",17,"easy",NA
48,6,"group",11,"medium",NA
86,9,"line",19,"easy",NA
86,9,"group",15,"very easy",NA
92,5,"line",2,"very easy",NA
92,5,"group",14,"very easy",NA
77,2,"line",7,"easy",NA
77,2,"group",3,"hard",NA
77,2,"group",8,"hard",NA
68,9,"line",16,"very easy",NA
68,9,"group",3,"hard",NA
34,5,"line",5,"easy",NA
34,5,"group",20,"hard",NA
44,5,"line",3,"easy",NA
44,5,"group",10,"easy",NA
57,5,"line",12,"easy",NA
57,5,"group",11,"easy",NA
67,7,"line",7,"easy",NA
67,7,"group",13,"easy",NA
53,3,"line",15,"easy",NA
53,3,"group",2,"easy",NA
83,3,"line",2,"easy",NA
83,3,"group",6,"very easy",NA
45,4,"line",10,"easy",NA
45,4,"group",11,"easy",NA
60,8,"line",3,"medium",FALSE
60,8,"group",5,"easy",FALSE
96,3,"line",4,"very easy",FALSE
96,3,"group",6,"easy",FALSE
80,1,"line",4,"very easy",FALSE
80,1,"group",7,"very easy",FALSE
10,1,"line",14,"very easy",FALSE
10,1,"group",20,"easy",FALSE
40,6,"line",11,"very easy",FALSE
40,6,"group",8,"very easy",FALSE
60,8,"line",9,"very easy",FALSE
60,8,"group",7,"easy",FALSE
55,4,"line",6,"medium",FALSE
55,4,"group",16,"easy",FALSE
2,7,"line",4,"easy",FALSE
2,7,"group",10,"medium",FALSE
106,7,"line",20,"very easy",FALSE
106,7,"group",5,"hard",FALSE
58,3,"line",20,"very easy",FALSE
58,3,"group",4,"medium",FALSE
13,8,"line",4,"very easy",FALSE
13,8,"group",10,"medium",FALSE
79,9,"line",10,"very easy",FALSE
79,9,"group",4,"easy",FALSE
92,6,"line",11,"very easy",FALSE
92,6,"group",8,"very easy",FALSE
68,2,"line",11,"very easy",FALSE
68,2,"group",16,"medium",FALSE
101,5,"line",19,"very easy",FALSE
101,5,"group",2,"hard",FALSE
31,5,"line",7,"easy",FALSE
31,5,"group",17,"medium",FALSE
90,2,"line",4,"very easy",FALSE
90,2,"group",15,"medium",FALSE
74,8,"line",8,"easy",FALSE
74,8,"group",12,"very easy",FALSE
46,1,"line",12,"very easy",FALSE
46,1,"group",10,"very easy",FALSE
64,4,"line",8,"easy",FALSE
64,4,"group",12,"very easy",FALSE
10,5,"line",14,"very easy",FALSE
10,5,"group",15,"easy",FALSE
